artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,release_month,release_year
Ed Sheeran,Everything You Are,1k5Fru5iZKKlgWOQCv35kQ,Don't,2oVtDZf7Xk3gLY7qN78asX,2014-08-12,37,True,0.629,0.707,7,-5.504,1,0.0947,0.362,0.000159,0.112,0.369,173.847,4,[],August,2014
Ed Sheeran,I See Fire,3Ycd1dFYbICkBHEtfpw5JB,The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack) [Special Edition],3MCUHjDo3wSm2QuLh1Fyrf,2013-12-10,46,False,0.566,0.0514,10,-21.106,0,0.0426,0.558,0.0,0.109,0.216,152.089,4,[],December,2013
Ed Sheeran,Shirtsleeves,3hRWv9DGBOc1ge8nMolCHp,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013-01-01,27,False,0.752,0.76,2,-5.34,1,0.0341,0.319,0.0,0.335,0.752,107.034,4,[],January,2013
Ed Sheeran,Take Me Back to London (feat. Stormzy),3ERZA2UXA1cD5WAELjSpa6,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,39,True,0.885,0.762,8,-5.513,0,0.216,0.219,0.0,0.162,0.605,138.059,4,['Stormzy'],July,2019
Ed Sheeran,2step (feat. Lil Baby),5PF6tRnQJWyAlZTCgDa4wQ,2step (The Remixes),1nqJFaKVTrCkCDaC2I1zM7,2022-05-26,35,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],May,2022
Ed Sheeran,Happier - Tiësto’s AFTR:HRS Remix,1uuUnsWpJwqBh5GRQ8uxla,Happier (Tiësto’s AFTR:HRS Remix),5GpwroXObdnETiIpVb1l23,2018-06-01,40,False,0.684,0.823,0,-4.881,1,0.0296,0.00576,7.42e-06,0.201,0.384,117.993,4,['Tiësto'],June,2018
Ed Sheeran,Shape of You - NOTD Remix,1dVWoeam7D1Zg6hB57pBE7,Shape of You (NOTD Remix),0gPq8o2JsJyVUyxzMITWBZ,2017-06-05,38,False,0.777,0.675,1,-7.765,0,0.0827,0.166,1.46e-06,0.157,0.696,96.008,4,['NOTD'],June,2017
Ed Sheeran,2step (feat. Budjerah),3dvDgPBAxqetLJvDmRDtwC,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,45,False,0.727,0.621,4,-4.784,0,0.0555,0.212,0.0,0.114,0.565,94.958,4,['Budjerah'],October,2021
Ed Sheeran,Let It Out,4Ur8TgNrZyUuRBWjsQfgGe,5,2hyDesSAYNefikDJXlqhPE,2014-06-23,35,False,0.731,0.603,8,-7.656,1,0.0378,0.645,0.011,0.147,0.619,96.973,4,[],June,2014
Ed Sheeran & Justin Bieber,I Don't Care (with Justin Bieber),1Tu5fpEjGl78R4mA6pQ7Tk,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,37,False,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,4,['Justin Bieber'],July,2019
Ed Sheeran,2step (feat. Lil Baby),3vRMNhtsTzM25UbTeuKGrx,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,33,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,['Lil Baby'],May,2022
Ed Sheeran,Homeless,5YS8NjfOuoFP1vi5wglycc,5,2hyDesSAYNefikDJXlqhPE,2014-06-23,34,False,0.754,0.636,9,-7.129,1,0.193,0.519,0.0,0.108,0.875,90.001,4,[],June,2014
Ed Sheeran,Take It Back,3zvc53juLgo3LibcwGBDqn,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013-01-01,27,False,0.754,0.613,5,-6.342,1,0.229,0.318,0.0,0.335,0.904,113.196,4,[],January,2013
Ed Sheeran,One Night,1IbGB3FLPDJjBX5i3S57rA,5,2hyDesSAYNefikDJXlqhPE,2014-06-23,34,False,0.781,0.836,6,-5.496,0,0.0658,0.379,0.0,0.289,0.636,94.989,4,[],June,2014
Ed Sheeran,Visiting Hours,446RPBrDh8kVcYfDdnNFmp,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,34,False,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609,4,[],May,2022
Ed Sheeran,2step (feat. Quevedo),0YbUKWAVjJvfOvRpnvNEOz,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,47,False,0.72,0.709,4,-5.308,0,0.0827,0.171,0.0,0.141,0.537,94.99,4,['Quevedo'],October,2021
Ed Sheeran,The Man,124Ym5jD2no2GAjZiEbw94,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013-01-01,26,False,0.759,0.725,11,-7.006,0,0.158,0.576,0.0,0.0771,0.619,87.467,4,[],January,2013
Ed Sheeran,Sofa,2Z7RLfJdXXkXUmvMJxkNJo,5,2hyDesSAYNefikDJXlqhPE,2014-06-23,34,False,0.646,0.65,2,-6.491,1,0.0278,0.14,9.65e-06,0.0999,0.52,100.05,4,[],June,2014
Ed Sheeran,2step (feat. Antytila),0EgNmGWjnYm3FMyaOW5xsM,2step (The Remixes),0a28QsFN8zbrWSvbSQ40PI,2021-10-29,43,False,0.506,0.695,4,-5.185,0,0.105,0.235,0.0,0.151,0.599,93.75,4,['Antytila'],October,2021
Ed Sheeran,Sandman,2XKGiJ6CtXxlWdBpDiTa7y,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,33,False,0.822,0.3,0,-8.034,1,0.0673,0.882,9.15e-05,0.0665,0.734,125.951,4,[],May,2022
Ed Sheeran,Give Me Love,1NvOOkafczKxO5YXRR01ax,+,0W5GGnapMz0VwemQvJDqa7,2011-09-09,42,False,0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068,4,[],September,2011
Ed Sheeran,Way To Break My Heart (feat. Skrillex),3ScM8IvndjLcJ9VyAc4EnS,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,36,False,0.726,0.731,1,-6.304,0,0.159,0.11,3.21e-06,0.0928,0.43,170.125,4,['Skrillex'],July,2019
Ed Sheeran,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),31zCe5KG7vN1sEpYm0JO02,1000 Nights (feat. Meek Mill & A Boogie wit da Hoodie),6OGBP8kekV91cG9sghPEVw,2019-07-11,30,False,0.778,0.59,8,-5.548,1,0.27,0.467,0.0,0.0902,0.515,97.995,4,"['Meek Mill', 'A Boogie Wit da Hoodie']",July,2019
Ed Sheeran,Be Right Now,3hPXXNKlZvD2l4KIgbo65V,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,33,False,0.501,0.684,11,-6.706,1,0.0566,0.00494,0.000478,0.0524,0.442,131.952,4,[],May,2022
Ed Sheeran,2step (feat. Ultimo),7mxEWcW3A0jULs64ckyq9k,2step (feat. Ultimo),3TDdlYSrE5WuOTiuyr9tTl,2022-05-06,48,False,0.727,0.69,4,-5.063,0,0.0721,0.16,0.0,0.137,0.685,94.935,4,['Ultimo'],May,2022
Ed Sheeran,Happier - Kasbo Remix,3a1QSvzb3ypLc1QpXTs9mU,Happier (Kasbo Remix),7ECFU1lKlRqNn0WokJ6VDN,2018-07-27,32,False,0.56,0.823,0,-3.228,1,0.0311,0.0256,0.000433,0.0891,0.0733,100.003,4,['Kasbo'],July,2018
Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),3U0oiHpXqrIS3AsOvkaS08,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,33,False,0.631,0.796,1,-5.35,1,0.0401,0.000245,0.0115,0.38,0.596,92.469,4,"['Chris Stapleton', 'Bruno Mars']",July,2019
Ed Sheeran,The City,4oCmusomhJaDXUF9OttwQ5,5,2hyDesSAYNefikDJXlqhPE,2014-06-23,33,False,0.689,0.369,8,-7.183,1,0.357,0.74,0.0,0.122,0.701,102.565,4,[],June,2014
Ed Sheeran jr,Shivers,08CIuzA2hK60XSIl8Itg24,Shivers,63PQcM7djBE00HnDuxlPr1,2022-09-06,23,False,0.709,0.315,5,-13.703,0,0.0439,0.568,0.913,0.104,0.615,149.981,4,[],September,2022
Ed Sheeran,Little Bird,7sGK98k8lv3hzRznoN909t,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,36,False,0.826,0.485,8,-7.424,1,0.0354,0.569,0.0,0.107,0.278,104.011,4,[],December,2011
Ed Sheeran,Best Part of Me (feat. YEBBA),5MLjVCMjJKwXLk6JmPeOPe,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,34,False,0.565,0.242,2,-8.367,1,0.0318,0.762,9.3e-06,0.285,0.237,81.657,4,['Yebba'],July,2019
Ed Sheeran,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,2Xqm0jHnkvjzrkkVRInzUB,I Don't Care (with Justin Bieber) [Chronixx & Koffee Remix],1alDPx3BdkU4YBHRZ8gGLu,2019-06-25,34,False,0.759,0.688,6,-4.413,1,0.0801,0.347,0.0,0.11,0.812,101.902,4,"['Justin Bieber', 'Chronixx', 'Koffee']",June,2019
Ed Sheeran,Homeless,0jtTK6XjYj2L3Ge6jyK2sr,Loose Change,3QbPtoOWiJqZurXXxJwaOD,2011-12-09,35,False,0.754,0.636,9,-7.129,1,0.193,0.519,0.0,0.108,0.875,90.001,4,[],December,2011
