artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,duration,release_day,release_month,release_year
Ed Sheeran,I Don't Care (with Justin Bieber) - Jonas Blue Remix,1VYj8u5I4L5Xl21zQiQMx7,I Don't Care (with Justin Bieber) [Jonas Blue Remix],35Cuz13gq76FoBKrEMlYTT,2019-06-07,0 days 00:03:12.681000,52,False,0.708,0.872,F#/Gb,-5.775,Major,0.0502,0.0736,0.0,0.337,0.25,124.026,4,"Justin Bieber, Jonas Blue",03:12,Friday,June,2019
Ed Sheeran,Even My Dad Does Sometimes,0N5zjRnf8AreOm95iSBXF4,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:03:48.533000,50,False,0.58,0.318,D,-8.926,Major,0.0279,0.756,0.000171,0.117,0.295,129.757,3,,03:48,Saturday,June,2014
Ed Sheeran,Shivers - Alok Remix,2W5n5YsWKPy3kw3yMb4qh0,Shivers (Alok Remix),6cgj2takjXRiUbUcjvbVZO,2021-10-11,0 days 00:02:52.500000,55,False,0.66,0.866,E,-5.278,Minor,0.0598,0.0137,4e-06,0.417,0.596,128.072,4,Alok,02:52,Monday,October,2021
Ed Sheeran,Castle on the Hill - Recorded at Spotify Studios New York City,6rjO7ZdSUdd8W2fkWL7fK9,Spotify Singles,14mR6XKPmsxzvOYCkqubJF,2017-06-07,0 days 00:03:45.791000,51,False,0.556,0.355,D,-6.416,Major,0.0398,0.581,0.0,0.118,0.644,147.58,4,,03:45,Wednesday,June,2017
Ed Sheeran,Take It Back,2dmOWlEHrP266Qgz6wnUrd,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:03:28.400000,50,False,0.754,0.613,F,-6.342,Major,0.229,0.318,0.0,0.335,0.904,113.196,4,,03:28,Saturday,June,2014
Ed Sheeran,Little Bird - Deluxe Edition,4bcgRbGeq4IejesjsiHyTH,+,02pi98kE0nra0yBqCStzbC,2011-09-09,0 days 00:03:44.529000,47,False,0.843,0.425,G#/Ab,-8.676,Major,0.0352,0.565,0.0,0.102,0.284,104.02,4,,03:44,Friday,September,2011
Ed Sheeran,Shirtsleeves,7awwmuGslmuyhnlpFipDqk,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:03:10.227000,49,False,0.752,0.76,D,-5.34,Major,0.0341,0.319,0.0,0.335,0.752,107.034,4,,03:10,Saturday,June,2014
Ed Sheeran,The Man,1gHF0I223J5pv06SuBcmkz,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,2014-06-21,0 days 00:04:10.427000,50,False,0.759,0.725,B,-7.006,Minor,0.158,0.576,0.0,0.0771,0.619,87.467,4,,04:10,Saturday,June,2014
Ed Sheeran,Feels (feat. Young Thug & J Hus),1Bdptrvb7nQkq8kCw3siE9,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,2019-07-12,0 days 00:02:30.787000,48,False,0.665,0.68,D,-4.898,Major,0.291,0.112,0.0,0.096,0.69,91.667,4,"Young Thug, J Hus",02:30,Friday,July,2019
Ed Sheeran,Grade 8,0obzwoGjXdORtAwYWZ9s53,+,02pi98kE0nra0yBqCStzbC,2011-09-09,0 days 00:02:59.880000,47,False,0.74,0.807,C,-9.976,Minor,0.0363,0.0446,4.02e-05,0.0538,0.781,101.042,4,,02:59,Friday,September,2011
Ed Sheeran,Gold Rush - Deluxe Edition,4mT5mVFaU7trA3UdbGqfB9,+,02pi98kE0nra0yBqCStzbC,2011-09-09,0 days 00:04:03.163000,46,False,0.74,0.248,E,-12.659,Major,0.109,0.729,0.0,0.141,0.889,83.786,4,,04:03,Friday,September,2011
Ed Sheeran,Shape of You - Galantis Remix,5H7CwzYZ60e7w69tX4ivQN,Shape of You (Galantis Remix),6K5S3fWJ6logqsusWVaJUG,2017-02-10,0 days 00:03:15.988000,46,False,0.838,0.765,C#/Db,-2.332,Minor,0.0462,0.0514,0.00021,0.0297,0.905,100.021,4,Galantis,03:15,Friday,February,2017
Ed Sheeran,Sunburn - Deluxe Edition,3YPiRYIUFlcQ0aaLGmeswS,+,02pi98kE0nra0yBqCStzbC,2011-09-09,0 days 00:04:35.882000,45,False,0.464,0.098,A#/Bb,-12.119,Major,0.0376,0.865,0.0,0.101,0.234,78.864,4,,04:35,Friday,September,2011
Ed Sheeran,Shivers - Jax Jones Remix,0agfGxNgmzHogvIO8rtJAe,Shivers (Jax Jones Remix),5q9Jn2214LUs6BmTGGh2AO,2021-10-25,0 days 00:03:27.138000,47,False,0.634,0.864,B,-3.61,Minor,0.0342,0.023,1.25e-05,0.0379,0.244,128.028,4,Jax Jones,03:27,Monday,October,2021
Ed Sheeran,I Will Remember You,4yVsZALRYQ2cBJCViCTTp0,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,0 days 00:03:34.493000,43,False,0.743,0.807,D#/Eb,-5.917,Major,0.0538,0.404,5.49e-06,0.0723,0.721,145.01,4,,03:34,Friday,May,2022
Ed Sheeran,The City,4ucfQOYOe1Jz5KqCfpGobp,+,02pi98kE0nra0yBqCStzbC,2011-09-09,0 days 00:03:54.333000,45,False,0.74,0.505,E,-10.338,Minor,0.0674,0.0415,6.82e-05,0.0707,0.646,97.994,4,,03:54,Friday,September,2011
Ed Sheeran,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,2019-07-11,0 days 00:02:43.049000,44,False,0.675,0.919,G#/Ab,-5.385,Major,0.127,0.0799,0.0,0.143,0.585,124.982,4,"Khalid, Jack Wins",02:43,Thursday,July,2019
Ed Sheeran,Penguins,2kvwspbTT9ZyQNAv9OVYjq,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,0 days 00:04:08.867000,42,False,0.709,0.324,D,-10.975,Major,0.0444,0.79,0.0,0.1,0.47,99.906,4,,04:08,Friday,May,2022
Ed Sheeran,South of the Border (feat. Camila Cabello) - Acoustic,6Kzzkq9sFHm51RwhHswCVc,South of the Border (feat. Camila Cabello) [Acoustic],1NXzlVvFqPATxSheVsEVZT,2019-11-29,0 days 00:03:14.885000,50,False,0.735,0.686,A,-4.476,Minor,0.0329,0.502,0.0,0.101,0.961,93.918,4,Camila Cabello,03:14,Friday,November,2019
Ed Sheeran,Shape of You - Stormzy Remix,2NHSYwGkAvPHzCinY0KwXo,Shape of You (Stormzy Remix),59KxIJM9NhO7kVYyh26Ulg,2017-02-24,0 days 00:03:51.261000,50,False,0.609,0.674,C#/Db,-3.007,Minor,0.202,0.595,0.0,0.203,0.789,127.656,3,Stormzy,03:51,Friday,February,2017
Ed Sheeran,Overpass Graffiti - TCTS Remix,7aJipE69xCCq3Upw8w9JOf,Overpass Graffiti (TCTS Remix),1v4uBCAiRxSw9tnujr5oXo,2021-10-28,0 days 00:04:36.296000,44,False,0.69,0.915,A,-3.778,Minor,0.0414,0.000938,0.000875,0.0618,0.882,126.046,4,TCTS,04:36,Thursday,October,2021
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],05Bru0ZVTxp4orAyrZIA77,2019-10-04,0 days 00:02:53.455000,41,False,0.789,0.858,F,-4.388,Major,0.0404,0.22,4.58e-05,0.335,0.491,110.012,4,"Cardi B, Camila Cabello, Sam Feldt",02:53,Friday,October,2019
Ed Sheeran,New York,0NJDrEZdTbVPMKC0Zbglgn,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013-01-01,0 days 00:03:55.960000,32,False,0.728,0.461,F#/Gb,-8.726,Major,0.0395,0.707,0.0,0.113,0.474,86.014,4,,03:55,Tuesday,January,2013
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],1imXAvLuowvPYIsFMYUPY0,2019-12-11,0 days 00:03:08.230000,40,False,0.805,0.835,C,-4.603,Major,0.0896,0.13,5.03e-06,0.365,0.722,125.027,4,"Cardi B, Camila Cabello, Andy Jarvis",03:08,Wednesday,December,2019
Ed Sheeran,Welcome To The World,6GqJ3mte0bfx6cIrWlVDW6,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,0 days 00:02:56.813000,39,False,0.334,0.307,C,-8.522,Major,0.033,0.818,5.55e-05,0.362,0.426,169.53,4,,02:56,Friday,May,2022
Ed Sheeran,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",2nyTaLu3TTrSS6CAxR3z0b,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",71znMnnyOF4NIe4UpTYbw7,2019-08-23,0 days 00:03:52.151000,48,True,0.851,0.667,D#/Eb,-7.061,Minor,0.268,0.25,0.0,0.19,0.596,138.011,4,"Jaykae, Aitch, Stormzy",03:52,Friday,August,2019
Ed Sheeran,Antisocial (with Travis Scott) - MK Remix,1qf82BwoRe9zdLvyvx7oGP,Antisocial (with Travis Scott) [MK Remix],0Whkv3Bi9hP9ev2cFPlZR3,2019-12-10,0 days 00:02:59.502000,37,False,0.796,0.868,A#/Bb,-5.774,Minor,0.0992,0.104,0.00024,0.115,0.586,124.981,4,"Travis Scott, MK",02:59,Tuesday,December,2019
Ed Sheeran,Shivers (feat. FEDUK & SLAVA MARLOW),64MeGCH5YppnMj0iNyaXvY,Shivers (feat. FEDUK & SLAVA MARLOW),6LRQlyFOrfJoUxJH1oE0kn,2021-12-01,0 days 00:02:46.360000,44,False,0.793,0.553,D,-8.371,Major,0.101,0.0382,0.0,0.0645,0.412,140.954,4,"FEDUK, SLAVA MARLOW",02:46,Wednesday,December,2021
Ed Sheeran,Castle on the Hill - Seeb Remix,2SK04gQYClGFLqNGklgJpN,Castle on the Hill (Seeb Remix),6LhLsGjkUVzAuywuuFIkdu,2017-05-19,0 days 00:03:50.972000,33,False,0.374,0.784,C,-4.469,Minor,0.0719,0.000534,0.0,0.623,0.323,165.919,4,Seeb,03:50,Friday,May,2017
Ed Sheeran,Everything You Are,1k5Fru5iZKKlgWOQCv35kQ,Don't,2oVtDZf7Xk3gLY7qN78asX,2014-08-12,0 days 00:03:58.657000,37,True,0.629,0.707,G,-5.504,Major,0.0947,0.362,0.000159,0.112,0.369,173.847,4,,03:58,Tuesday,August,2014
Ed Sheeran,Shape of You - NOTD Remix,1dVWoeam7D1Zg6hB57pBE7,Shape of You (NOTD Remix),0gPq8o2JsJyVUyxzMITWBZ,2017-06-05,0 days 00:03:10.098000,38,False,0.777,0.675,C#/Db,-7.765,Minor,0.0827,0.166,1.46e-06,0.157,0.696,96.008,4,NOTD,03:10,Monday,June,2017
Ed Sheeran,Happier - Kasbo Remix,3a1QSvzb3ypLc1QpXTs9mU,Happier (Kasbo Remix),7ECFU1lKlRqNn0WokJ6VDN,2018-07-27,0 days 00:04:16.800000,32,False,0.56,0.823,C,-3.228,Major,0.0311,0.0256,0.000433,0.0891,0.0733,100.003,4,Kasbo,04:16,Friday,July,2018
Ed Sheeran,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,2Xqm0jHnkvjzrkkVRInzUB,I Don't Care (with Justin Bieber) [Chronixx & Koffee Remix],1alDPx3BdkU4YBHRZ8gGLu,2019-06-25,0 days 00:03:38.373000,34,False,0.759,0.688,F#/Gb,-4.413,Major,0.0801,0.347,0.0,0.11,0.812,101.902,4,"Justin Bieber, Chronixx, Koffee",03:38,Tuesday,June,2019
Ed Sheeran,Perfect - Mike Perry Remix,5AJgjETGRZMlONKiKzYCUy,Perfect (Mike Perry Remix),3ZQ5TYGh6ei3IDnQ3GscGh,2017-11-10,0 days 00:03:41.333000,37,False,0.732,0.756,F,-4.309,Minor,0.0324,0.26,0.0,0.13,0.343,113.98,3,Mike Perry,03:41,Friday,November,2017
Ed Sheeran,Little Lady (feat. Mikill Pane),5rKb6l02IplvF9I0sJI9Lj,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,0 days 00:05:28.653000,38,False,0.437,0.5,A,-7.103,Major,0.105,0.731,0.0,0.157,0.437,85.293,4,Mikill Pane,05:28,Friday,September,2011
Ed Sheeran,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]",4iYxrnTvYsTtyphOTqTvkh,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",71znMnnyOF4NIe4UpTYbw7,2019-08-23,0 days 00:03:51.428000,43,True,0.787,0.842,A#/Bb,-4.026,Minor,0.25,0.117,0.0,0.179,0.657,138.159,4,"Jaykae, Aitch, Stormzy, Sir Spyro",03:51,Friday,August,2019
Ed Sheeran,Overpass Graffiti - Alle Farben Remix,7akVlCmVcBAjod87dKRUbA,Overpass Graffiti (Alle Farben Remix),4WUMErHkS43wP3JwWNB6jQ,2021-10-28,0 days 00:03:23.503000,39,False,0.663,0.812,C,-4.849,Major,0.133,0.0217,4.46e-06,0.289,0.652,129.986,4,Alle Farben,03:23,Thursday,October,2021
Ed Sheeran,London Bridge,4zWxuASYcr7KhvNGMjvlDT,The Slumdon Bridge,3j70EKOaR5iVk0BPW6lowR,2011-09-09,0 days 00:04:54.194000,22,False,0.695,0.388,C,-15.157,Minor,0.315,0.393,0.000857,0.0591,0.319,93.041,4,Yelawolf,04:54,Friday,September,2011
Ed Sheeran,Shape of You - Yxng Bane Remix,31OUf7myzRshUdO8aQpEPH,Shape of You (Yxng Bane Remix),6y6RDTPqAox4sTHfy1piVX,2017-08-11,0 days 00:03:27.128000,41,True,0.535,0.616,C#/Db,-5.542,Minor,0.314,0.384,0.0,0.0816,0.516,96.433,4,Yxng Bane,03:27,Friday,August,2017
